Symbol,Name,Sector,Validtill
GODREJCP,Godrej Consumer Products Ltd.,Consumer Goods,2023-01-06 22:36:43
NBCC,NBCC (India) Ltd.,Construction,2023-01-06 22:36:43
AMBUJACEM,Ambuja Cements Ltd.,Cement & Cement Products,2023-01-06 22:36:43
GRASIM,Grasim Industries Ltd.,Cement & Cement Products,2023-01-06 22:36:43
BRITANNIA,Britannia Industries Ltd.,Consumer Goods,2023-01-06 22:36:43
DABUR,Dabur India Ltd.,Consumer Goods,2023-01-06 22:36:43
DRREDDY,Dr. Reddy's Laboratories Ltd.,Pharma,2023-01-06 22:36:43
OIL,Oil India Ltd.,Energy,2023-01-06 22:36:43
HAVELLS,Havells India Ltd.,Consumer Goods,2023-01-06 22:36:43
OBEROIRLTY,Oberoi Realty Limited,,2023-01-06 22:36:43
HEXAWARE,Hexaware Technologies Ltd.,Information Technology,2023-01-06 22:36:43
APOLLOTYRE,Apollo Tyres Ltd.,Automobile,2023-01-06 22:36:43
KSCL,Kaveri Seed Company Ltd.,Consumer Goods,2023-01-06 22:36:43
ZEEL,Zee Entertainment Enterprises Ltd.,Media & Entertainment,2023-01-06 22:36:43
RELINFRA,Reliance Infrastructure Ltd.,Energy,2023-01-06 22:36:43
LICHSGFIN,LIC Housing Finance Ltd.,Financial Services,2023-01-06 22:36:43
COALINDIA,Coal India Ltd.,Metals,2023-01-06 22:36:43
RPOWER,Reliance Power Ltd.,Energy,2023-01-06 22:36:43
IFCI,IFCI Ltd.,Financial Services,2023-01-06 22:36:43
TATACOMM,TATA COMMUNICATIONS,Telecom,2023-01-06 22:36:43
